time,Vel
69.6,5.096256
69.7,5.096256
69.8,5.14096
69.9,5.14096
70,5.14096
70.1,5.14096000000001
70.2,5.185664
70.3,5.14096
70.4,5.096256
70.5,5.051552
70.6,5.05155199999999
70.7,5.006848
70.8,4.962144
70.9,4.91744
71,4.91744
71.1,4.87273599999999
71.2,4.828032
71.3,4.828032
71.4,4.783328
71.5,4.783328
71.6,4.738624
71.7,4.738624
71.8,4.738624
71.9,4.69392
72,4.69392
72.1,4.649216
72.2,4.649216
72.3,4.69392
72.4,4.69392
72.5,4.738624
72.6,4.783328
72.7,4.783328
72.8,4.828032
72.9,4.828032
73,4.872736
73.1,4.91744
73.2,4.91744
73.3,4.962144
73.4,4.962144
73.5,5.006848
73.6,5.00684800000001
73.7,5.051552
73.8,5.051552
73.9,5.096256
74,5.096256
74.1,5.14096000000001
74.2,5.185664
74.3,5.185664
74.4,5.185664
74.5,5.230368
74.6,5.230368
74.7,5.230368
74.8,5.275072
74.9,5.275072
75,5.275072
75.1,5.319776
75.2,5.319776
75.3,5.36448
75.4,5.36448
75.5,5.409184
75.6,5.453888
75.7,5.453888
75.8,5.498592
75.9,5.543296
76,5.543296
76.1,5.58800000000001
76.2,5.632704
76.3,5.588
76.4,5.588
76.5,5.588
76.6,5.543296
76.7,5.543296
76.8,5.54329599999999
76.9,5.498592
77,5.498592
77.1,5.49859199999999
77.2,5.453888
77.3,5.409184
77.4,5.409184
77.5,5.36448
77.6,5.31977599999999
77.7,5.275072
77.8,5.27507199999999
77.9,5.230368
78,5.185664
78.1,5.14096
78.2,5.14096
78.3,5.096256
78.4,5.096256
78.5,5.096256
78.6,5.096256
78.7,5.096256
78.8,5.051552
78.9,5.051552
79,5.051552
79.1,5.051552
79.2,5.051552
79.3,5.051552
79.4,5.051552
79.5,5.051552
79.6,5.096256
79.7,5.096256
79.8,5.096256
79.9,5.096256
80,5.096256
80.1,5.14096
80.2,5.14096
80.3,5.14096000000001
80.4,5.185664
80.5,5.185664
80.6,5.230368
80.7,5.230368
80.8,5.275072
80.9,5.275072
81,5.319776
81.1,5.31977600000001
81.2,5.36448
81.3,5.31977599999999
81.4,5.275072
81.5,5.230368
81.6,5.18566399999999
81.7,5.14096
81.8,5.09625599999999
81.9,5.051552
82,5.051552
82.1,5.00684799999999
82.2,4.962144
82.3,4.962144
82.4,4.962144
82.5,4.962144
82.6,4.96214399999999
82.7,4.91744
82.8,4.91744
82.9,4.91744
83,4.91744
83.1,4.91744
83.2,4.91744
83.3,4.91744
83.4,4.91744
83.5,4.91744
83.6,4.962144
83.7,4.962144
83.8,4.962144
83.9,4.962144
84,4.962144
84.1,4.962144
84.2,4.962144
84.3,5.00684800000001
84.4,5.051552
84.5,5.051552
84.6,5.09625600000001
84.7,5.14096
84.8,5.14096000000001
84.9,5.185664
85,5.230368
85.1,5.275072
85.2,5.275072
85.3,5.31977600000001
85.4,5.36448
85.5,5.409184
85.6,5.45388800000001
85.7,5.498592
85.8,5.54329600000001
85.9,5.588
86,5.632704
86.1,5.67740800000001
86.2,5.766816
86.3,5.766816
86.4,5.766816
86.5,5.766816
86.6,5.81152
86.7,5.81152
86.8,5.81152000000001
86.9,5.856224
87,5.856224
87.1,5.85622400000001
87.2,5.900928
87.3,5.85622399999999
87.4,5.81152
87.5,5.766816
87.6,5.722112
87.7,5.722112
87.8,5.67740799999999
87.9,5.632704
88,5.588
88.1,5.543296
88.2,5.543296
88.3,5.40918399999998
88.4,5.275072
88.5,5.14096
88.6,5.00684799999998
88.7,4.872736
88.8,4.73862399999998
88.9,4.604512
89,4.4704
89.1,4.33628799999998
89.2,4.202176
89.3,4.06806399999997
89.4,3.889248
89.5,3.710432
89.6,3.57631999999997
89.7,3.397504
89.8,3.26339199999997
89.9,3.084576
90,2.90576
90.1,2.77164799999997
90.2,2.592832
90.3,2.50342399999998
90.4,2.369312
90.5,2.2352
90.6,2.14579199999998
90.7,2.01168
