time,Vel
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,2.145792
437,4.291584
438,4.91744
439,4.738624
440,4.380992
441,2.861056
442,1.34112
443,1.251712
444,0.44704
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,2.145792
482,4.291584
483,6.079744
484,6.169152
485,5.990336
486,5.543296
487,6.169152
488,6.884416
489,6.795008
490,6.347968
491,6.169152
492,6.526784
493,7.778496
494,8.761984
495,8.672576
496,8.404352
497,8.136128
498,8.9408
499,8.851392
500,8.583168
501,8.225536
502,7.867904
503,7.242048
504,5.632704
505,4.291584
506,2.771648
507,1.34112
508,1.251712
509,0.983488
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,2.145792
557,4.291584
558,4.91744
559,4.828032
560,4.559808
561,4.291584
562,4.112768
563,4.202176
564,5.096256
565,5.81152
566,5.543296
567,3.486912
568,1.877568
569,1.34112
570,1.072896
571,0.268224
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
