time,Vel
271,3.05555555555556
272,1.83333333333333
273,1.41666666666667
274,1.22222222222222
275,0.611111111111111
276,0
277,0
278,0
279,0.611111111111111
280,1.41666666666667
281,3.86111111111111
282,6.30555555555556
283,7.52777777777778
284,7.52777777777778
285,6.30555555555556
286,5.08333333333333
287,3.25
288,2.44444444444444
289,1.83333333333333
290,1.02777777777778
291,0.805555555555555
292,1.22222222222222
293,3.05555555555556
294,3.25
295,3.25
296,3.05555555555556
297,2.44444444444444
298,1.83333333333333
299,2.02777777777778
300,1.63888888888889
301,1.22222222222222
302,0.611111111111111
303,0.194444444444444
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0.555555555555556
312,1.91666666666667
313,3
314,3.41666666666667
315,3.97222222222222
316,5.47222222222222
317,5.88888888888889
318,6.58333333333333
319,7.80555555555556
320,8.61111111111111
321,8.75
322,9.16666666666667
323,9.44444444444444
324,8.61111111111111
325,6.69444444444444
326,4.38888888888889
327,3
328,1.77777777777778
329,0.694444444444444
330,0.416666666666667
331,0
332,0
333,0.138888888888889
334,1.77777777777778
335,3.83333333333333
336,5.33333333333333
337,5.33333333333333
338,5.88888888888889
339,6.30555555555556
340,6.97222222222222
341,7.94444444444444
342,9.30555555555556
343,10.2777777777778
344,10.5277777777778
345,11.3611111111111
346,12.3333333333333
347,13.1388888888889
